 #
 STAT iters ns T P beta lnKx1 lnKx2 lnKx3 lnKy1 lnKy2 lnKy3
 X0       22082           8   175.00000000000009        1767.0286588576760        8.3626450083626402E-002 -0.47534470082050145        6.8510908521493734        18.301668706422650       -1.2825336220586410        2.9108591653768379        21.678462083691329     
 SOL           3           6   195.67167343200856        984.98778377520023       0.11184901980734833      -0.40947068489637212        8.3465075418049093        18.628719151779222       -1.2579459130083726        5.3751110966465276        23.362683560418628     
 SOL           3           6   196.30103893337366        983.13789166407730       0.11186877952122432      -0.40957012106738389        8.3452638045633591        18.613142332561498       -1.2558661866402119        5.3859253437900021        23.332257392366763     
 SOL           3           6   196.93214233849503        981.31986468652758       0.11188773347981804      -0.40967020830840145        8.3439779118358572        18.597537123553458       -1.2537892375732678        5.3966671637108439        23.301831224314899     
 SOL           3           6   197.56497701704600        979.53328776652029       0.11190586872096481      -0.40977095107005423        8.3426497483057194        18.581903595257707       -1.2517150835056854        5.4073363305091613        23.271405056263035     
 SOL           3           6   198.19953274510939        977.77778518060109       0.11192317345370184      -0.40987235290779023        8.3412790413523865        18.566241662291105       -1.2496437432368666        5.4179324872894394        23.240978888211171     
 SOL           3           6   198.83579922851763        976.05298402608958       0.11193963580744533      -0.40997441739031898        8.3398655235267700        18.550551243534493       -1.2475752350042615        5.4284552856040467        23.210552720159306     
 SOL           3           6   199.47376608822381        974.35851432808636       0.11195524382393721      -0.41007714809993950        8.3384089323117419        18.534832262179460       -1.2455095765672233        5.4389043844282750        23.180126552107442     
 SOL           3           6   200.11342290174395        972.69400884417030       0.11196998547890076      -0.41018054863107678        8.3369090104968127        18.519084645243151       -1.2434467849773743        5.4492794527019006        23.149700384055578     
 SOL           3           6   200.75475918225192        971.05910314034475       0.11198384865660745      -0.41028462259546844        8.3353655063891825        18.503308324506079       -1.2413868767781058        5.4595801674958144        23.119274216003713     
 SOL           3           6   201.39776438498836        969.45343564558493       0.11199682116556392      -0.41038937361761080        8.3337781733268592        18.487503235609239       -1.2393298679003550        5.4698062146618058        23.088848047951849     
 SOL           3           6   202.04242792492340        967.87664750446083       0.11200889072916266      -0.41049480534017641        8.3321467704537948        18.471669318857515       -1.2372757736702147        5.4799572893269204        23.058421879899985     
 SOL           3           6   202.68873913799538        966.32838296404270       0.11202004500053794      -0.41060092141311416        8.3304710609299590        18.455806517445517       -1.2352246088296943        5.4900330943192017        23.027995711848121     
 SOL           3           6   203.33668738165895        964.80828849483760       0.11203027152607326      -0.41070772552028684        8.3287508161067514        18.439914781490707       -1.2331763874756327        5.5000333439149198        22.997569543796256     
 SOL           3           6   203.98626188150158        963.31601420426989       0.11203955780270414      -0.41081522133751497        8.3269858088611617        18.423994061517583       -1.2311311231492588        5.5099577578982135        22.967143375744392     
 SOL           4           6   204.63745192637657        961.85121212057936       0.11204789120459062      -0.41092341258554804        8.3251758217922252        18.408044316427684       -1.2290888287250838        5.5198060688406541        22.936717207692528     
 SOL           3           6   205.12689819648924        960.77043148677990       0.11205350828878263      -0.41100501464598871        8.3237886856626666        18.396062937408558       -1.2275590643072491        5.5271422035225957        22.913897581653629     
 SOL           3           6   205.61724254759238        959.70476586213499       0.11205857686681230      -0.41108701155210392        8.3223760384519867        18.384065193753091       -1.2260309823566669        5.5344352761885727        22.891077955614730     
 SOL           3           6   206.10848043768786        958.65407147568396       0.11206309151178261      -0.41116940489715142        8.3209377949657313        18.372051073209470       -1.2245045876187060        5.5416851844255515        22.868258329575831     
 SOL           3           6   206.60058447129427        957.61829476262324       0.11206702884043632      -0.41125219920826106        8.3194737898356497        18.360021032976967       -1.2229800325561462        5.5488903180284828        22.845438703536932     
 SOL           4           6   207.09360198155645        956.59709077881450       0.11207042411332314      -0.41133538944504894        8.3179841244036457        18.347973994681258       -1.2214569848767300        5.5560540167167272        22.822619077498032     
 SOL           3           6   207.46394158302911        955.84074590424018       0.11207259570275611      -0.41139804547833608        8.3168499150140285        18.338927971779988       -1.2203158222308566        5.5613982000748070        22.805504357968861     
 SOL           3           6   207.83477327551756        955.09252787885839       0.11207444360052414      -0.41146092794605604        8.3157011276213382        18.329872726971210       -1.2191756226899726        5.5667178455954014        22.788389638439689     
