 #vapor
STAT  iter  ns  T  P  lnK1  lnK2  lnK3  y1  y2  y3
 SOL           3           1   1019.1447143509992        13.640326950056721       -3.4736571287804985       -1.1193272354560511        2.3586043718903911        1.9267915634398100E-002   9.6283634264384577E-002  0.88444845010121553     
 SOL           3           1   1007.6752880295849        10.895015510291142       -3.7532233738773648       -1.2651675472338821        2.3784916319535143        1.4568695240908484E-002   8.3217532038944608E-002  0.90221377272014525     
 SOL           3           1   995.42649389866972        8.5944188669460662       -4.0438219387606766       -1.4159040529108358        2.3953276408026594        1.0894700738585027E-002   7.1573260075075973E-002  0.91753203918633741     
 SOL           3           1   982.50630070432885        6.6936946080385349       -4.3454607851019853       -1.5712389776761755        2.4095409478625656        8.0577765316587752E-003   6.1275899976672890E-002  0.93066632349166711     
 SOL           3           1   969.02427208990377        5.1460644421190835       -4.6581473176946044       -1.7309025576006360        2.4215100111464936        5.8940957016214946E-003   5.2233447003103797E-002  0.94187245729527325     
 SOL           3           1   955.08871519188153        3.9045277352561136       -4.9818884405815940       -1.8946524021817506        2.4315665030148010        4.2640098565002197E-003   4.4343812876920172E-002  0.95139217726657821     
 SOL           3           1   940.80401073714961        2.9234386134362440       -5.3166906059167154       -2.0622728098138983        2.4399990353074061        3.0508121476379045E-003   3.7500444441159797E-002  0.95944874341120068     
 SOL           3           1   926.26829430158045        2.1598436820451705       -5.6625598566938349       -2.2335739630001625        2.4470571147301379        2.1587699293089866E-003   3.1596666719979405E-002  0.96624456335070985     
 SOL           3           1   911.57161876174928        1.5745054549900870       -6.0195018642743534       -2.4083909794866449        2.4529551702738863        1.5107354341295973E-003   2.6528897617781322E-002  0.97196036694808763     
 SOL           3           1   896.79467678146023        1.1325749815398705       -6.3875219614785319       -2.5865827612121799        2.4578765194857968        1.0455849374019484E-003   2.2198902112692685E-002  0.97675551294990370     
 SOL           3           1   882.00810191329367       0.80391759803553897       -6.7666251718754724       -2.7680306022609305        2.4619771687461887        7.1567671247890947E-004   1.8515255098794273E-002  0.98076906818872511     
 SOL           3           1   867.27231055205004       0.56313007208648769       -7.1568162358008243       -2.9526365558863503        2.4653893703499623        4.8446126618759833E-004   1.5394172652156854E-002  0.98412136608165368     
 SOL           3           1   852.63780533150464       0.38931046108962930       -7.5580996335455088       -3.1403215716783350        2.4682248844038739        3.2432758974026982E-004   1.2759856385595849E-002  0.98691581602466238     
 SOL           3           1   838.14583386633910       0.26565330329714604       -7.9704796060887624       -3.3310234532113645        2.4705779169420694        2.1472842966780835E-004   1.0544476214832408E-002  0.98924079535549814     
 SOL           3           1   823.82928837393285       0.17894080735608972       -8.3939601736913350       -3.5246947012100782        2.4725277250254929        1.4059642387304454E-004   8.6878968747699792E-003  0.99117150670135523     
 SOL           3           1   809.71373702024766       0.11899306479878677       -8.8285451526172700       -3.7213003255947323        2.4741408952145543        9.1040873532196646E-005   7.1372337327310232E-003  0.99277172539373515     
 SOL           3           1   795.81849382386054        7.8125634524902218E-002  -9.2742381702133372       -3.9208157090925448        2.4754733131969253        5.8300784397775311E-005   5.8463052785065039E-003  0.99409539393709434     
 SOL           3           1   782.15765599564827        5.0648232422088664E-002  -9.7310426785424475       -4.1232245829150811        2.4765718499053859        3.6922127753876031E-005   4.7750336048326238E-003  0.99518804426741181     
 SOL           3           1   768.74105692521357        3.2424265350630567E-002  -10.198961966739894       -4.3285172149407414        2.4774757940349010        2.3124478949859493E-005   3.8888301491838998E-003  0.99608804537186468     
 SOL           3           1   755.57511007060054        2.0499547660313863E-002  -10.677999172238223       -4.5366887793834252        2.4782180617169201        1.4322826820946640E-005   3.1579933658934726E-003  0.99682768380728393     
 SOL           3           1   742.66352795244825        1.2800199259482217E-002  -11.168157290987022       -4.7477379977672989        2.4788262143622037        8.7731544399643594E-006   2.5571352699209999E-003  0.99743409157563756     
 SOL           3           1   730.00791936809810        7.8943166530736509E-003  -11.669439186777414       -4.9616660124351615        2.4793233130194983        5.3143703129955959E-006   2.0646476494527921E-003  0.99793003798023283     
